color_name,rgb,red,green,blue,hue_degree,saturation_percent,lightness_percent
Air Force blue,#5d8aa8,93,138,168,204,30.1,51.2
Alice blue,#f0f8ff,240,248,255,208,100,97.1
Alizarin crimson,#e32636,227,38,54,354.9,77.1,52
Almond, #efdecd,239,222,205,30,51.5,87.1
Amaranth,#e52b50,229,43,80,348.1,78.2,53.3
Amber,#ffbf00,255,191,0,44.9,100,50
American rose,#ff033e,255,3,62,346,100,50.6
Amethyst,#9966cc,153,102,204,270,50,60
Android Green,#a4c639,164,198,57,74.5,55.3,50
Anti-flash white,#f2f3f4,242,243,244,210,8.3,95.3
Antique brass,#cd9575,205,149,117,21.8,46.8,63.1
Antique fuchsia,#915c83,145,92,131,315.8,22.4,46.5
Antique white,#faebd7,250,235,215,34.3,77.8,91.2
Ao,#008000,0,128,0,120,100,25.1
Apple green,#8db600,141,182,0,73.5,100,35.7
Apricot,#fbceb1,251,206,177,23.5,90.2,83.9
Aqua,#00ffff,0,255,255,180,100,50
Aquamarine,#7fffd4,127,255,212,159.8,100,74.9
Army green,#4b5320,75,83,32,69.4,44.3,22.5
Arylide yellow,#e9d66b,233,214,107,51,74.1,66.7
Ash grey,#b2beb5,178,190,181,135,8.5,72.2
Asparagus,#87a96b,135,169,107,92.9,26.5,54.1
Atomic tangerine,#ff9966,255,153,102,20,100,70
Auburn,#a52a2a,165,42,42,0,59.4,40.6
Aureolin,#fdee00,253,238,0,56.4,100,49.6
AuroMetalSaurus,#6e7f80,110,127,128,183.3,7.6,46.7
Awesome,#ff2052,255,32,82,346.5,100,56.3
Azure,#007fff,0,127,255,210.1,100,50
Azure mist/web,#f0ffff,240,255,255,180,100,97.1
Baby blue,#89cff0,137,207,240,199.2,77.4,73.9
Baby blue eyes,#a1caf1,161,202,241,209.3,74.1,78.8
Baby pink,#f4c2c2,244,194,194,0,69.4,85.9
Ball Blue,#21abcd,33,171,205,191.9,72.3,46.7
Banana Mania,#fae7b5,250,231,181,43.5,87.3,84.5
Banana yellow,#ffe135,255,225,53,51.1,100,60.4
Battleship grey,#848482,132,132,130,60,0.8,51.4
Bazaar,#98777b,152,119,123,352.7,13.8,53.1
Beau blue,#bcd4e6,188,212,230,205.7,45.7,82
Beaver,#9f8170,159,129,112,21.7,19.7,53.1
Beige,#f5f5dc,245,245,220,60,55.6,91.2
Bisque,#ffe4c4,255,228,196,32.5,100,88.4
Bistre,#3d2b1f,61,43,31,24,32.6,18
Bittersweet,#fe6f5e,254,111,94,6.4,98.8,68.2
Black,#000000,0,0,0,0,0,0
Blanched Almond,#ffebcd,255,235,205,36,100,90.2
Bleu de France,#318ce7,49,140,231,210,79.1,54.9
Blizzard Blue,#ace5ee,172,229,238,188.2,66,80.4
Blond,#faf0be,250,240,190,50,85.7,86.3
Blue,#0000ff,0,0,255,240,100,50
Blue Bell,#a2a2d0,162,162,208,240,32.9,72.5
Blue Gray,#6699cc,102,153,204,210,50,60
Blue green,#0d98ba,13,152,186,191.8,86.9,39
Blue purple,#8a2be2,138,43,226,271.1,75.9,52.7
Blue violet,#8a2be2,138,43,226,271.1,75.9,52.7
Blush,#de5d83,222,93,131,342.3,66.2,61.8
Bole,#79443b,121,68,59,8.7,34.4,35.3
Bondi blue,#0095b6,0,149,182,190.9,100,35.7
Bone,#e3dac9,227,218,201,39.2,31.7,83.9
Boston University Red,#cc0000,204,0,0,0,100,40
Bottle green,#006a4e,0,106,78,164.2,100,20.8
Boysenberry,#873260,135,50,96,327.5,45.9,36.3
Brandeis blue,#0070ff,0,112,255,213.6,100,50
Brass,#b5a642,181,166,66,52.2,46.6,48.4
Brick red,#cb4154,203,65,84,351.7,57,52.5
Bright cerulean,#1dacd6,29,172,214,193.6,76.1,47.6
Bright green,#66ff00,102,255,0,96,100,50
Bright lavender,#bf94e4,191,148,228,272.3,59.7,73.7
Bright maroon,#c32148,195,33,72,345.6,71.1,44.7
Bright pink,#ff007f,255,0,127,330.1,100,50
Bright turquoise,#08e8de,8,232,222,177.3,93.3,47.1
Bright ube,#d19fe8,209,159,232,281.1,61.3,76.7
Brilliant lavender,#f4bbff,244,187,255,290.3,100,86.7
Brilliant rose,#ff55a3,255,85,163,332.5,100,66.7
Brink pink,#fb607f,251,96,127,348,95.1,68
British racing green,#004225,0,66,37,153.6,100,12.9
Bronze,#cd7f32,205,127,50,29.8,60.8,50
Brown,#a52a2a,165,42,42,0,59.4,40.6
Bubble gum,#ffc1cc,255,193,204,349.4,100,87.8
Bubbles,#e7feff,231,254,255,182.5,100,95.3
Buff,#f0dc82,240,220,130,49.1,78.6,72.5
Bulgarian rose,#480607,72,6,7,359.1,84.6,15.3
Burgundy,#800020,128,0,32,345,100,25.1
Burlywood,#deb887,222,184,135,33.8,56.9,70
Burnt orange,#cc5500,204,85,0,25,100,40
Burnt sienna,#e97451,233,116,81,13.8,77.6,61.6
Burnt umber,#8a3324,138,51,36,8.8,58.6,34.1
Byzantine,#bd33a4,189,51,164,310.9,57.5,47.1
Byzantium,#702963,112,41,99,311,46.4,30
CG Blue,#007aa5,0,122,165,195.6,100,32.4
CG Red,#e03c31,224,60,49,3.8,73.8,53.5
Cadet,#536872,83,104,114,199.4,15.7,38.6
Cadet blue,#5f9ea0,95,158,160,181.8,25.5,50
Cadet grey,#91a3b0,145,163,176,205.2,16.4,62.9
Cadmium green,#006b3c,0,107,60,153.6,100,21
Cadmium orange,#ed872d,237,135,45,28.1,84.2,55.3
Cadmium red,#e30022,227,0,34,351,100,44.5
Cadmium yellow,#fff600,255,246,0,57.9,100,50
Café au lait,#a67b5b,166,123,91,25.6,29.6,50.4
Café noir,#4b3621,75,54,33,30,38.9,21.2
Cal Poly Pomona green,#1e4d2b,30,77,43,136.6,43.9,21
Cambridge Blue,#a3c1ad,163,193,173,140,19.5,69.8
Camel,#c19a6b,193,154,107,32.8,41,58.8
